"","Species","month_year","month","year","Events","Total_animals","Subadult_animals","active_days","sighting_per_day","sighting_per_month","animals_per_day","animals_per_month","subadult_animals_per_day","subadult_animals_per_month"
"147","Canis familiaris","2020-12","12","2020",11,11,0,548,0.0200729927007299,0.622262773722628,0.0200729927007299,0.622262773722628,0,0
"148","Canis familiaris","2021-01","01","2021",3,3,0,749,0.00400534045393859,0.124165554072096,0.00400534045393859,0.124165554072096,0,0
"149","Canis familiaris","2021-02","02","2021",11,12,1,745,0.0147651006711409,0.413422818791946,0.0161073825503356,0.451006711409396,0.00134228187919463,0.0375838926174497
"150","Canis familiaris","2021-03","03","2021",3,3,0,866,0.00346420323325635,0.107390300230947,0.00346420323325635,0.107390300230947,0,0
"151","Canis familiaris","2021-04","04","2021",3,3,0,769,0.00390117035110533,0.11703511053316,0.00390117035110533,0.11703511053316,0,0
"152","Canis familiaris","2021-05","05","2021",1,1,0,814,0.00122850122850123,0.0380835380835381,0.00122850122850123,0.0380835380835381,0,0
"153","Canis familiaris","2021-06","06","2021",1,3,0,797,0.00125470514429109,0.0376411543287327,0.00376411543287327,0.112923462986198,0,0
"154","Canis familiaris","2021-07","07","2021",2,3,0,836,0.00239234449760766,0.0741626794258373,0.00358851674641148,0.111244019138756,0,0
"155","Canis familiaris","2021-08","08","2021",4,4,0,909,0.0044004400440044,0.136413641364136,0.0044004400440044,0.136413641364136,0,0
"156","Canis familiaris","2021-09","09","2021",5,6,0,857,0.0058343057176196,0.175029171528588,0.00700116686114352,0.210035005834306,0,0
"157","Canis familiaris","2021-10","10","2021",5,6,0,913,0.00547645125958379,0.169769989047097,0.00657174151150055,0.203723986856517,0,0
"158","Canis familiaris","2021-11","11","2021",17,19,3,757,0.0224570673712021,0.673712021136063,0.0250990752972259,0.752972258916777,0.00396301188903567,0.11889035667107
"159","Canis familiaris","2021-12","12","2021",8,8,0,525,0.0152380952380952,0.472380952380952,0.0152380952380952,0.472380952380952,0,0
"160","Canis familiaris","2022-01","01","2022",6,6,0,563,0.0106571936056838,0.330373001776199,0.0106571936056838,0.330373001776199,0,0
"161","Canis familiaris","2022-02","02","2022",2,2,0,559,0.0035778175313059,0.100178890876565,0.0035778175313059,0.100178890876565,0,0
"162","Canis familiaris","2022-03","03","2022",4,4,0,713,0.00561009817671809,0.173913043478261,0.00561009817671809,0.173913043478261,0,0
"163","Canis familiaris","2022-04","04","2022",2,2,0,712,0.00280898876404494,0.0842696629213483,0.00280898876404494,0.0842696629213483,0,0
